job_title;company;location;salary_preview;date_posted_relative;url;short_description
Neuer als 24h;Unknown;;;;https://www.stepstone.dehttps://www.stepstone.de/jobs/automation-specialist/in-deutschland?radius=30&action=facet_selected%3bage%3bage_1&ag=age_1;
Teilweise Home-Office;Unknown;;;;https://www.stepstone.dehttps://www.stepstone.de/jobs/automation-specialist/in-deutschland?radius=30&action=facet_selected%3bworkFromHome%3b2&wfh=2;
Auf Unternehmenswebsite;Unknown;;;;https://www.stepstone.dehttps://www.stepstone.de/jobs/automation-specialist/in-deutschland?radius=30&action=facet_selected%3bapplicationMethod%3bEXTERNAL&am=EXTERNAL;
Deutsch;Unknown;;;;https://www.stepstone.dehttps://www.stepstone.de/jobs/automation-specialist/in-deutschland?radius=30&action=facet_selected%3bdetectedLanguages%3bde&fdl=de;
Kommunikation;Unknown;;;;https://www.stepstone.dehttps://www.stepstone.de/jobs/automation-specialist/in-deutschland?radius=30&action=facet_selected%3bskills%3b83923&fsk=83923;
Buchhaltung;Unknown;;;;https://www.stepstone.dehttps://www.stepstone.de/jobs/automation-specialist/in-deutschland?radius=30&action=facet_selected%3bdisciplines%3bBuchhaltung&di=Buchhaltung;
Vollzeit;Unknown;;;;https://www.stepstone.dehttps://www.stepstone.de/jobs/vollzeit/automation-specialist/in-deutschland?radius=30&action=facet_selected%3bworktypes%3b80001;
;AbbVie Deutschland GmbH & Co. KG;Ludwigshafen am Rhein;;vor 4 Tagen;https://www.stepstone.dehttps://www.stepstone.de/cmp/de/abbvie-deutschland-gmbh-%26-co-kg-173828/jobs;
;Mamisch Digital GmbH;Home-Office, bundesweit, Wesel (NRW);;vor 1 Woche;https://www.stepstone.dehttps://www.stepstone.de/cmp/de/mamisch-digital-gmbh-405967/jobs;
;Stiftung Deutsches Rundfunkarchiv (DRA);Potsdam-Babelsberg;;vor 4 Tagen;https://www.stepstone.dehttps://www.stepstone.de/cmp/de/stiftung-deutsches-rundfunkarchiv-dra-366696/jobs;
;Reply;Berlin, Bremen, Frankfurt, Hamburg, Hannover, Köln, München;;vor 2 Tagen;https://www.stepstone.dehttps://www.stepstone.de/cmp/de/reply-121954/jobs;
;SimplyTest GmbH;Nürnberg;;vor 3 Stunden;https://www.stepstone.dehttps://www.stepstone.de/cmp/de/simplytest-gmbh-240953/jobs;
;SimplyTest GmbH;Nürnberg;;vor 3 Stunden;https://www.stepstone.dehttps://www.stepstone.de/cmp/de/simplytest-gmbh-240953/jobs;
;WUND HOLDING GmbH;Sinsheim;;vor 5 Stunden;https://www.stepstone.dehttps://www.stepstone.de/cmp/de/wund-holding-gmbh-185565/jobs;
;Sopra Steria;bundesweit, Berlin, Frankfurt, Hamburg, Köln, Leipzig, München;;vor 5 Stunden;https://www.stepstone.dehttps://www.stepstone.de/cmp/de/sopra-steria-3313/jobs;
;SimplyTest GmbH;Nürnberg;;vor 6 Stunden;https://www.stepstone.dehttps://www.stepstone.de/cmp/de/simplytest-gmbh-240953/jobs;
;SimplyTest GmbH;Nürnberg;;vor 6 Stunden;https://www.stepstone.dehttps://www.stepstone.de/cmp/de/simplytest-gmbh-240953/jobs;
;WUND HOLDING GmbH;Euskirchen;;vor 9 Stunden;https://www.stepstone.dehttps://www.stepstone.de/cmp/de/wund-holding-gmbh-185565/jobs;
;SCHUFA Holding AG;Wiesbaden;;vor 14 Stunden;https://www.stepstone.dehttps://www.stepstone.de/cmp/de/schufa-holding-ag-31786/jobs;
;Kite IT GmbH;Mannheim;;vor 1 Tag;https://www.stepstone.dehttps://www.stepstone.de/cmp/de/kite-it-gmbh-232661/jobs;
;mecom Medien-Communikations-Gesellschaft mbH;Hamburg;;vor 3 Tagen;https://www.stepstone.dehttps://www.stepstone.de/cmp/de/mecom-medien-communikations-gesellschaft-mbh-5475/jobs;
