
=== Repeated HARD skill words by experience level ===

Word	Entry	Advanced	Total
python	28	32	60
agile	15	32	47
digitalisierung	12	99	111
kubernetes	12	2	14
excel	10	49	59
sap	9	91	100
power	8	19	27
strategie	7	64	71
sql	7	14	21
lean	6	54	60
nlp	4	6	10
llm	4	10	14
low	3	13	16
code	3	20	23
rpa	3	27	30
azure	3	26	29
confluence	3	17	20
jira	3	24	27
kanban	3	6	9
scrum	3	17	20
consulting	3	55	58
aws	2	9	11
docker	2	7	9
change	2	11	13
management	2	11	13
nosql	2	2	4
uipath	1	0	1
six	1	18	19
sigma	1	18	19
spark	1	3	4
bpmn	1	23	24
n8n	0	9	9
pytorch	0	7	7
tensorflow	0	6	6
