
=== Repeated HARD skill words by experience level ===

Word	Entry	Advanced	Total
python	28	32	60
agile	15	28	43
digitalisierung	12	85	97
kubernetes	12	2	14
excel	9	44	53
sap	9	83	92
power	8	16	24
sql	7	14	21
strategie	6	57	63
lean	6	54	60
nlp	4	5	9
llm	4	10	14
low	3	11	14
code	3	18	21
rpa	3	27	30
azure	3	26	29
confluence	3	14	17
jira	3	22	25
kanban	3	6	9
scrum	3	17	20
consulting	3	52	55
aws	2	9	11
docker	2	7	9
change	2	9	11
management	2	9	11
nosql	2	2	4
uipath	1	0	1
six	1	19	20
sigma	1	19	20
spark	1	3	4
bpmn	1	22	23
n8n	0	9	9
pytorch	0	7	7
tensorflow	0	6	6
mlops	1	6	7
