City,Latitude,Longitude
Amberg,49.4543662,11.8474021
Berlin,52.5173885,13.3951309
Großräschen,51.5883265,14.0123136
Hamburg,53.550341,10.000654
Köln,50.938361,6.959974
München,48.1371079,11.5753822
Rosbach Vor Der Höhe,50.2990872,8.6967275
Rostock,54.0886707,12.1400211
Schwabsoien,47.8347873,10.8312805
Zell Am Harmersbach,48.3482133,8.0653343
Aachen,50.776351,6.083862
Aalen,48.8375607,10.0929593
Abstatt,49.0683979,9.2908267
Ahorn,49.4878031,9.534577
Amt Wachsenburg,50.8651411,10.9143279
Ansbach,49.2888745,10.5597693
Aschaffenburg,49.9706701,9.1384857
Aschersleben,51.7559549,11.462134
Augsburg,48.3690341,10.8979522
Bad Aibling,47.8640504,12.0097685
Bad Kreuznach,49.8152421,7.9123692
Bad Nauheim,50.40015,8.7461314
Bad Schwartau,53.9196435,10.6978692
Baden-Württemberg,48.53775,9.041169
Bamberg,49.8916044,10.8868478
Bannewitz,50.9941921,13.7225277
Beckum,51.7555148,8.041135
Beilngries,49.0351602,11.473829
Bielefeld,52.0191005,8.531007
Bingen Am Rhein,49.9675456,7.8944
Birkenfeld,49.6488236,7.1647477
Birkenwerder,52.6884408,13.2831336
Bismark (Altmark),52.6443959,11.6251053
Bissingen,48.7177493,10.6158383
Bitterfeld-Wolfen,51.6425032,12.3076334
Blankenfelde-Mahlow,52.3479238,13.4119554
Bochum,51.4818111,7.2196635
Brandenburg An Der Havel,52.4108261,12.5497933
Braunschweig,52.2646577,10.5236066
Bremen,53.0758196,8.8071646
Bruchsal,49.124118,8.5980244
Burgwedel,52.5,9.86667
Buseck,50.6178665,8.7759513
Bückeburg,52.2611037,9.0488959
Chemnitz,50.8323531,12.918914
Coburg,50.2582226,10.964561
Cottbus,51.7567447,14.3357307
Darmstadt,49.872775,8.651177
Delmenhorst,53.048095,8.6286066
Dortmund,51.5142273,7.4652789
Dotternhausen,48.2276969,8.7920689
Dreieich,50.011974,8.7123912
Dresden,51.0493286,13.7381437
Durchhausen,48.0388958,8.6748324
Düsseldorf,51.2254018,6.7763137
Ebersdorf Bei Coburg,50.2208665,11.0665391
Ehingen (Donau),48.2828519,9.7262175
Erftstadt,50.8027168,6.8031625
Erfurt,50.9777974,11.0287364
Erlangen,49.5891571,10.9812072
Eschborn,50.1504737,8.5607767
Eschenbach In Der Oberpfalz,49.7531092,11.8294634
Essen,51.4582235,7.0158171
Essenbach,48.6130261,12.2169913
Esslingen Am Neckar,48.7427584,9.3071685
Extertal,52.0906649,9.0947816
Falkensee,52.5606426,13.08824
Frankfurt Am Main,50.1106444,8.6820917
Freiberg Am Neckar,48.9345539,9.1922557
Freiburg Im Breisgau,47.9960901,7.8494005
Friedrichshafen,47.6500279,9.4800858
Fulda,50.5542328,9.6770448
Fürth,49.4885711,10.9587203
Geesthacht,53.4374683,10.3678235
Grävenwiesbach,50.3803748,8.4535305
Halberstadt,51.8953514,11.0520563
Halle (Saale),51.4824354,11.9712985
Hamm,50.0165178,6.4184628
Hannover,52.3744779,9.7385532
Heidelberg,49.4093582,8.694724
Heilbronn,49.142291,9.218655
Heimsheim,48.8058986,8.8619207
Heinsberg,51.0654268,6.0984461
Hemer,51.3854116,7.7661798
Hemmingstedt,54.1506435,9.08263
Hennigsdorf,52.6375777,13.2057511
Henstedt-Ulzburg,53.7926888,9.9808134
Herbrechtingen,48.6226932,10.1761696
Hermsdorf,50.897952,11.8567132
Hofgeismar,51.4972178,9.4280731
Holzwickede,51.5007037,7.6186433
Hösbach,50.0049158,9.200966
Ingolstadt,48.7630165,11.4250395
Isernhagen,52.4526275,9.8602096
Ismaning,48.2242434,11.6715263
Jena,50.9281717,11.5879359
Johanngeorgenstadt,50.4310567,12.7146849
Kaisersesch,50.2307994,7.1404855
Kaiserslautern,49.4432174,7.7689951
Karlsruhe,49.0068705,8.4034195
Kassel,51.3157833,9.4978479
Kempten (Allgäu),47.7267063,10.3168835
Kiefersfelden,47.6138408,12.188782
Kiel,54.3227085,10.135555
Kleinmachnow,52.4064167,13.2236601
Kornwestheim,48.8611498,9.1873875
Kronach,50.2397846,11.3277669
Kuppenheim,48.8272323,8.2545743
Kölln-Reisiek,53.7575161,9.692135
Lahr,49.9440252,6.2909576
Landsberg Am Lech,48.0497474,10.8768728
Laupheim,48.230514,9.8771587
Leinfelden-Echterdingen,48.6901796,9.1525725
Leipzig,51.3406321,12.3747329
Lemwerder,53.1617117,8.6081507
Lengenfeld,50.5694023,12.3652544
Leopoldshöhe,52.0064215,8.6888207
Limbach,50.7012045,7.7999792
Lohne (Oldenburg),52.665257,8.2363523
Lorch,48.7982424,9.6898657
Ludwigsburg,48.8953937,9.1895147
Lübeck,53.866444,10.684738
Lüneburg,53.248706,10.407855
Mahlberg,48.2871478,7.8124221
Mainz Am Rhein,49.9652205,8.0564412
Manching,48.7171356,11.4940685
Mannheim,49.4892913,8.4673098
Marburg,50.8090106,8.7704695
Marktredwitz,50.0009915,12.0856433
Marktschorgast,50.0959141,11.654611
Meckenheim,50.6256627,7.0215612
Meiningen,50.56761,10.4153029
Melle,52.1950352,8.3474835
Melsungen,51.1425944,9.5833158
Mühltal,49.8077,8.6941
Mülheim An Der Ruhr,51.4272925,6.8829192
Mülheim-Kärlich,50.3868869,7.4975336
Münster,51.9625101,7.6251879
Nachterstedt,51.801284,11.3342273
Neckarsulm,49.191133,9.2248391
Neu-Ulm,48.3953489,10.0005211
Neuburg An Der Donau,48.7373603,11.1785988
Neuenkirchen-Vörden,52.5109212,8.0901585
Neumarkt In Der Oberpfalz,49.2800542,11.4585353
Neunkirchen,50.5456179,8.1025344
Neuss,51.1981778,6.6916476
Neuwied,50.4302393,7.466302
Niederdreisbach,50.7453616,7.925745
Nonnweiler,49.6059466,6.9708379
Norderstedt,53.7089898,9.9891914
Null,51.6648977,10.3108165
Nördlingen,48.8516578,10.4885873
Nürnberg,49.453872,11.077298
Nützen,53.8653583,9.9207809
Oelde,51.8260823,8.1453352
Offenbach Am Main,50.1055002,8.7610698
Offingen,48.482932,10.3639517
Oldenburg (Oldb),53.1389753,8.2146017
Osnabrück,52.2719595,8.047635
Osterholz-Scharmbeck,53.2281763,8.7948239
Parkstein,49.7309364,12.0716549
Peiting,47.7959863,10.9228731
Pfaffenhofen An Der Ilm,48.5296743,11.5084954
Porta Westfalica,52.2394431,8.924762
Potsdam,52.4009309,13.0591397
Pulheim,50.9979888,6.8025409
Pößneck,50.694735,11.5953247
Quickborn,54.0111091,9.2114907
Radolfzell Am Bodensee,47.7372802,8.9702755
Rastatt,48.8584568,8.2040452
Ravensburg,47.7811014,9.612468
Regensburg,49.0195333,12.0974869
Rehau,50.2500051,12.0332893
Reinbek,53.5098898,10.2511001
Rendsburg,54.3000225,9.6516356
Renningen,48.7648163,8.9347008
Rhede (Ems),53.0586814,7.2735358
Rheine,52.2797707,7.4373615
Ribnitz-Damgarten,54.2433326,12.4319733
Riedbach,50.1019736,10.4340933
Rinteln,52.1873798,9.0804584
Roth,49.1952934,11.0566523
Saalfeld,50.6479143,11.3610041
Saarbrücken,49.234362,6.996379
Sankt Augustin,50.7752776,7.1895507
Sassenberg,51.9882058,8.0407212
Schierling,48.8374635,12.1379497
Schloß Holte-Stukenbrock,51.9017108,8.6353438
Schrobenhausen,48.5613407,11.2654488
Schwentinental,54.2900155,10.2254279
Schwerin,53.6288297,11.4148038
Siegen,50.8751175,8.0256131
Siegenburg,48.7546033,11.8492482
Simbach Am Inn,48.2663113,13.0279972
Sinsheim,49.2531222,8.8769914
Soest,51.5725501,8.1061259
Sonneberg,50.3575412,11.1691714
Stade,53.599794,9.475438
Steinhagen,53.8436425,11.929235
Straußfurt,51.1624323,10.989534
Stuhr,53.027353,8.7497818
Stuttgart,48.7784485,9.1800132
Sömmerda,51.1618258,11.1174874
Tamm,48.9204307,9.1158361
Teltow,52.3805562,13.2685278
Teningen,48.1270117,7.8101648
Triptis,50.7353974,11.8633794
Töpen,50.3892558,11.8740551
Uelzen,52.9840679,10.5385882
Ulm,48.3984968,9.9912458
Untergruppenbach,49.089717,9.275092
Unterlüß,52.834578,10.297171
Unterschleißheim,48.2730686,11.5702716
Verl,51.5533457,7.9155558
Vöhringen,48.2833039,10.0832982
Waiblingen,48.8325659,9.3163822
Walsrode,52.8625395,9.5883023
Waltenhofen,47.6719918,10.3047999
Wedel,53.5810226,9.7038772
Weiden In Der Oberpfalz,49.6752749,12.1631636
Weinheim,49.5462349,8.6717458
Weisweil,48.2010438,7.6756268
Wenden,50.9691051,7.8733251
Werdau,50.7361377,12.3763847
Werne,51.66268,7.6355052
Wertheim Am Main,49.7599825,9.5166598
Westhausen,48.8845159,10.1878466
Wetzlar,50.570561,8.531245
Wiesbaden,50.0820384,8.2416556
Windhagen,50.6399632,7.3537702
Wissen,50.7829232,7.7344766
Wolnzach,48.603,11.6269977
Wuppertal,51.264018,7.1780374
Würzburg,49.7780356,9.9434769
Zell (Mosel),50.0275681,7.1813233
Zwickau,50.7185043,12.4939267
Gütersloh,51.9166621,8.4043282
Haiger,50.7752801,8.2129059
Göppingen,48.7031377,9.6541116
Biebergemünd,50.1801457,9.2918379
Bindlach,49.9819529,11.6134138
Bonn,50.7352621,7.1024635
Bönen,51.598077,7.7588538
Cölbe,50.87541,8.82319
Deggendorf,48.7814115,13.0006423
Dietzenbach,50.0171926,8.784277
Dinslaken,51.5623618,6.7345106
Duisburg,51.434999,6.759562
Ettlingen,48.9414188,8.4076347
Filderstadt,48.6664,9.2199647
Flensburg,54.7833021,9.4333264
Friedberg,48.3551962,10.9786498
Gerlingen,48.7983947,9.0624386
Gießen,50.5808795,8.6938161
Goch,51.6755765,6.1593045
Gummersbach,51.0277658,7.5630545
Hameln,52.1039941,9.3561569
Hardthausen Am Kocher,49.2548053,9.3885582
Haren (Ems),52.7905619,7.2400267
Harsewinkel,51.9617153,8.2252425
Holzgerlingen,48.6392119,9.0115732
Kirchheim Unter Teck,48.6480545,9.4510227
Koblenz Am Rhein,50.2397869,7.4452775
Konstanz,47.659216,9.1750718
Krefeld,51.3331205,6.5623343
Landau In Der Pfalz,49.1982825,8.1123441
Linz Am Rhein,50.5662481,7.2812557
Lippstadt,51.6747074,8.347194
Lohr Am Main,49.9947528,9.573777
Lübbenau,51.8680114,13.9689477
Magdeburg,52.1314783,11.6400789
Menden (Sauerland),51.43779,7.7953822
Neuhausen Auf Den Fildern,48.6831554,9.2776764
Nobitz,50.9447085,12.5130758
Nordrhein-Westfalen,51.4789205,7.5543751
Ochsenhausen,48.0711222,9.9512104
Offenburg,48.4695984,7.9429235
Olching,48.2077801,11.3278779
Paderborn,51.7177044,8.752653
Pegnitz,49.75649,11.540944
Pforzheim,48.890934,8.7025509
Plauen,50.4950632,12.1346523
Ratingen,51.2973261,6.8493503
Reutlingen,48.4919508,9.2114144
Rosenheim,47.8539273,12.127262
Schleswig-Holstein,54.1853998,9.8220089
Schwarzheide,51.4858276,13.8306977
Seligenstadt,50.0347055,8.9593719
Siershahn,50.4832975,7.7780847
Sindelfingen,48.7084162,9.0035455
Singen (Hohentwiel),47.7617515,8.8348709
Sonnefeld,50.2241263,11.1340321
Strullendorf,49.8439391,10.9700482
Süßen,48.6826604,9.7586073
Unterföhring,48.1920628,11.6401877
Velten,52.6882194,13.1775867
Viernheim,49.5401213,8.5785313
Walldorf,49.3038134,8.6433518
Weeze,51.6267298,6.2011559
Weida,50.7581426,12.0470063
Wesseling,50.8247166,6.9810852
Wittlich,49.9850353,6.88844
Wolfsburg,52.4205588,10.7861682
Zusmarshausen,48.3996568,10.5964024
Zweibrücken,49.248655,7.3641981
01728,50.9806962,13.7367401
01987,51.4873729,13.8360027
04109,51.3385462,12.3642803
04179,51.3425226,12.308703
06108,51.4904352,11.9628501
07743,50.948187,11.5946335
07819,50.7431064,11.8396856
10117,52.5175184,13.3877686
10178,52.5212845,13.4097989
10179,52.5121017,13.4164365
10625,52.5097994,13.3147404
10719,52.4982762,13.3260137
10963,52.5000666,13.3815571
10969,52.5023538,13.4023459
12099,52.4647344,13.4032928
12105,52.4484553,13.3722304
12359,52.4488802,13.4513794
13509,52.5907189,13.298215
14471,52.3785892,13.0012601
14473,52.3707598,13.0522537
14482,52.3922047,13.1080127
14612,52.5780985,13.0933244
16761,52.6317922,13.2066432
18119,54.171753,12.0715803
20095,53.5512868,9.9992216
20148,53.5673152,9.9974538
20354,53.5580406,9.9910922
20359,53.5513888,9.9652207
20457,53.5335376,9.9806284
20539,53.5228789,10.0395538
21129,53.5243956,9.8585629
21337,53.2393519,10.4600745
21465,53.5305274,10.2637548
21502,53.4406215,10.3908218
22085,53.5736446,10.0143053
22145,53.6110346,10.2374454
22309,53.6106081,10.0554348
22335,53.6313283,10.005055
22761,53.5698296,9.9142777
22844,53.7267292,9.9895164
22848,53.6702396,9.9647065
22850,53.6937499,9.9929851
22880,53.5881848,9.6939062
24103,54.3227661,10.136053
24105,54.3378072,10.1450606
24143,54.3102622,10.1481248
24159,54.39818,10.1636888
24558,53.7804278,10.0425
25770,54.1530382,9.0881755
26129,53.1529595,8.1751768
26899,53.0621507,7.2553939
27753,53.0559378,8.6126329
27809,53.1378966,8.5870645
28195,53.0807745,8.804503
28199,53.0582015,8.7819123
28309,53.0417932,8.8865304
28759,53.168969,8.6512615
28816,52.9944463,8.7162942
29345,52.8242316,10.2709063
30159,52.3754607,9.73718
30169,52.3650033,9.734567
30177,52.3942975,9.7694274
